,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
99,How we've changed each other over 14 years together!,https://i.ytimg.com/vi/ehBjP3LkcWc/default.jpg,1394,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2024-02-06T13:15:50Z,503550,29334,1900,27分46秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
100,My brother got little kitties!! :D,https://i.ytimg.com/vi/YAvqj7f4Ilc/default.jpg,969,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'cat', 'cats', 'kitties', 'brother', 'kittens', 'vlog', 'blog', 'daily', 'life']",2017-03-15T10:08:20Z,502437,20222,1457,13分39秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
101,Goin to America!!,https://i.ytimg.com/vi/Njj4fTG1qu0/default.jpg,1749,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2024-08-31T12:35:06Z,496316,26871,1388,25分29秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
102,Dinner & CATS & work & CATS,https://i.ytimg.com/vi/mu7aQ0tHkwo/default.jpg,876,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'myhusbandisjapanese', 'vlog', 'blog', 'daily', 'life', 'cats', 'cat', 'dinner', 'work']",2016-10-25T12:52:11Z,496264,10446,547,11分3秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
103,Health and moving updates!,https://i.ytimg.com/vi/zYCJcRwNPHk/default.jpg,835,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'health', 'moving', 'dentist', 'orthodontist', 'invisalign', 'braces']",2019-01-07T04:23:09Z,489353,17020,1343,20分45秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
104,Walking our cats on the treadmill!,https://i.ytimg.com/vi/K-dcv3Gx9tQ/default.jpg,937,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2022-12-30T14:06:10Z,487894,25112,761,6分11秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
105,Exercise room DIY makeover,https://i.ytimg.com/vi/i79e-O9lcq8/default.jpg,1849,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-02-08T15:18:04Z,486155,27363,889,18分14秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
106,We figured out a way to reuse old shoji doors,https://i.ytimg.com/vi/QNH8IpD1MXI/default.jpg,1973,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2022-08-23T14:39:13Z,486037,31074,1163,18分53秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
107,Japanese bathroom makeover!,https://i.ytimg.com/vi/2ELN-BtjyME/default.jpg,1132,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2022-10-09T11:25:42Z,478463,31541,1103,18分17秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
108,Building a Cat Friendly House in Japan,https://i.ytimg.com/vi/3updIrIN2Lw/default.jpg,1062,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cat', 'house', 'design']",2021-01-28T11:30:41Z,476900,32421,1703,11分25秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
109,I broke our couch,https://i.ytimg.com/vi/-m7PQsUF4ak/default.jpg,1041,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2021-11-27T23:06:13Z,474052,26478,1187,20分9秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
110,Going through a miscarriage in Japan,https://i.ytimg.com/vi/wbDs3_c2AO0/default.jpg,955,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2025-05-22T14:12:23Z,471909,34796,3342,40分34秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
111,Changing our apartment AND OUR LIVES (NOT REALLY),https://i.ytimg.com/vi/hMegmoJO8ag/default.jpg,852,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'lives', 'life', 'change', 'gaming', 'channel', 'updates', 'vlog', 'blog', 'health']",2018-02-02T05:37:05Z,462890,11399,1350,37分37秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
112,Designer Japanese house tour,https://i.ytimg.com/vi/DOKQuEZn1SQ/default.jpg,1926,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'house', 'tour', 'designer', 'custom']",2021-07-30T11:30:40Z,462465,25917,938,18分47秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
113,Fixing up things for our cats!,https://i.ytimg.com/vi/bGYDbn3Y47Y/default.jpg,1776,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2021-05-26T15:55:47Z,458727,28653,1089,15分,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
114,What we brought back to Japan on our trip to America,https://i.ytimg.com/vi/BO7tHeRIP68/default.jpg,691,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2025-01-05T14:05:23Z,457760,24667,1025,17分21秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
115,Japanese thrift store shopping!,https://i.ytimg.com/vi/YaJ8Z8JMibE/default.jpg,1375,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-04-07T11:06:58Z,457719,22634,936,18分52秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
116,We got a 3D model of our house!,https://i.ytimg.com/vi/PkLC-aAvWlA/default.jpg,1390,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'model', 'house', 'digital', 'tour', 'floor plan', 'build']",2021-02-24T13:54:05Z,454876,28185,2542,18分58秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
117,Japan's Squirrel Park!,https://i.ytimg.com/vi/t7xo3CrhZ70/default.jpg,1461,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'squirrel', 'park', 'village', 'gifu', 'castle', 'vlog', 'blog']",2017-08-12T13:13:30Z,451525,12368,919,13分37秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
118,Building a Japanese house | Kitchen/Bath showroom tour!,https://i.ytimg.com/vi/1PqIgethhn0/default.jpg,1245,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'kitchen', 'bath', 'bathroom', 'online', 'showroom', 'interior', 'design', 'house', 'building']",2021-01-20T15:27:14Z,450156,28042,2156,23分5秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
119,Making Poki fetch his food,https://i.ytimg.com/vi/GPz7ydiQuz8/default.jpg,1027,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cat', 'haku', 'poki', 'nagi', 'catch', 'food', 'snacks', 'chase', 'race', 'cats']",2020-02-19T16:07:33Z,447762,21447,1299,10分28秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
120,We did stuff for a day,https://i.ytimg.com/vi/7t2cOo9TJ24/default.jpg,1181,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cat', 'cats', 'vet', 'veterinarin', 'gardening', 'troubleshooting', 'dinner', 'fried rice']",2019-06-30T12:34:54Z,438337,16522,1673,30分3秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
121,6 months progress on our Japanese yard!,https://i.ytimg.com/vi/P3zdqKfVn_Y/default.jpg,1682,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2022-06-23T14:05:17Z,438145,32627,1037,15分5秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
122,We tried a new foreigners-only Japanese attraction!,https://i.ytimg.com/vi/xsC7KpGnb14/default.jpg,858,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'vr', 'ninja', 'dojo', 'foreigners', 'only', 'allowed', 'challenge', 'event', 'ninja dojo', 'training', 'attraction']",2019-03-12T11:13:19Z,420381,17945,1085,15分48秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
123,Trying to make an expired gingerbread house,https://i.ytimg.com/vi/_8porPom9qA/default.jpg,863,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'gingerbread', 'house', 'kit', 'christmas']",2020-12-23T12:55:34Z,420278,30859,1882,16分15秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
124,I put a Japanese rock garden under our stairs,https://i.ytimg.com/vi/Md1foNUMlI4/default.jpg,1571,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-09-05T13:47:40Z,420066,22931,810,22分2秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
